campo;tipo;obrigatorio
OHREQUID;int;TRUE
DATAPAKID;int;TRUE
RECORD;int;TRUE
ZCHREQUID;int;TRUE
ZCHTPEVOP;int;TRUE
COMP_CODE;string;TRUE
ZCHSUCURS;string;TRUE
ZCHRAMO;string;TRUE
ZCHAPOLIC;string;TRUE
ZCHENDOSS;string;TRUE
ZCHUNICO;string;TRUE
ZCHPROPOS;string;TRUE
ZCHSININT;string;FALSE
ZDTMOVIME;int;TRUE
ZCHOBJSE1;string;TRUE
RECORDMODE;string;FALSE
ZCHINFESR;string;FALSE
ZKFPRSUBV;double;FALSE
ZCHORSUBV;string;FALSE
ZCHAREATO;int;FALSE
ZCHMEDIDA;int;FALSE
ZCHCODCUL;string;FALSE
ZCHCDREBA;int;FALSE
ZCHCDFLOR;int;FALSE
ZDTVIST;int;FALSE
ZCHLCVIST;string;FALSE
ZCHUFVIST;string;FALSE
ZCHCPVIST;string;FALSE
ZCHPAISVT;int;FALSE
ZCHTDVIST;int;FALSE
ZCHDCVIST;string;FALSE
ZCHNMVIST;string;FALSE
ZCHMDPARA;int;FALSE
ZCHDCPAR;string;FALSE
ZCHGARANT;string;FALSE
ZCHDESANM;int;FALSE
ZCHCLAANM;int;FALSE
ZCHORISRO;string;FALSE
ZCHSTCONT;string;FALSE
