campo;tipo;obrigatorio
OHREQUID;int;TRUE
DATAPAKID;int;TRUE
RECORD;int;TRUE
ZCHREQUID;int;TRUE
ZCHTPEVOP;int;TRUE
COMP_CODE;string;TRUE
ZCHSUCURS;string;TRUE
ZCHRAMO;string;TRUE
ZCHAPOLIC;string;TRUE
ZCHENDOSS;string;TRUE
ZCHUNICO;string;TRUE
ZCHPROPOS;string;TRUE
ZCHSININT;string;FALSE
ZDTMOVIME;int;TRUE
ZCHTPAPEL;string;TRUE
ZCHCPFBEN;string;TRUE
ZCHDCESTR;string;TRUE
RECORDMODE;string;FALSE
ZCHTPPINT;string;FALSE
ZCHDSINT;string;FALSE
ZCHBENEF;string;TRUE
ZCHNRSUSE;string;FALSE
ZCHTPDOCP;int;TRUE
ZCHTIPSEG;string;TRUE
ZCHNACSEG;string;FALSE
ZKFCOMIS;double;FALSE
CURRENCY;string;FALSE
ZCHEMAIL;string;FALSE
ZCHENDSEG;string;TRUE
ZCHNUMLOG;string;FALSE
ZCHCOMPLE;string;FALSE
ZCHENBAIR;string;FALSE
ZCHUF;string;TRUE
ZCHMUNICI;string;TRUE
ZCHCPVIST;string;TRUE
ZCHPAISVT;int;TRUE
ZCHOBSER;string;FALSE
ZCHTIPOPJ;string;FALSE
ZCHGRAUEX;int;FALSE
ZCHORISRO;string;FALSE
ZKFVALCOM;double;FALSE
GENDER;string;FALSE
DATEBIRTH;int;FALSE
ZCHTPHACO;int;FALSE
ZCHSTCONT;string;FALSE
ZCHGPAREN;int;FALSE
ZKFPERCAP;double;FALSE
ZDTNASSEG;int;FALSE
