campo;tipo;obrigatorio
OHREQUID;int;TRUE
DATAPAKID;int;TRUE
RECORD;int;TRUE
ZCHREQUID;int;TRUE
ZCHTPEVOP;int;TRUE
COMP_CODE;string;TRUE
ZCHSUCURS;string;TRUE
ZCHRAMO;string;TRUE
ZCHAPOLIC;string;TRUE
ZCHENDOSS;string;TRUE
ZCHUNICO;string;TRUE
ZCHPROPOS;string;TRUE
ZCHSININT;string;FALSE
ZCHOBJSE1;string;TRUE
ZDTMOVIME;int;TRUE
ZCHCBSEGU;string;TRUE
ZCHBSIND;int;FALSE
ZCHDESCIN;string;FALSE
ZCHDTLTRE;int;FALSE
ZCHPRZRET;int;FALSE
ZCHUNIRT;int;FALSE
ZCHDIARET;string;FALSE
ZCHDTPRC;int;FALSE
ZCHDTFPRC;int;FALSE
ZCHPRZCOP;int;FALSE
ZCHUNICOP;int;FALSE
ZCHINDDC;string;FALSE
ZCHDTISUP;int;FALSE
ZCHDTFSUP;int;FALSE
ZCHPRZSUP;int;FALSE
ZCHUNISUP;int;FALSE
ZCHINDSUP;string;FALSE
ZCHINDADV;int;FALSE
ZCHDCADV;string;FALSE
ZCHCOBRIS;string;FALSE
ZCHORISRO;string;FALSE
