campo;tipo;obrigatorio
OHREQUID;int;TRUE
DATAPAKID;int;TRUE
RECORD;int;TRUE
ZCHREQUID;int;TRUE
ZCHTPEVOP;int;TRUE
COMP_CODE;string;TRUE
ZCHSUCURS;string;TRUE
ZCHRAMO;string;TRUE
ZCHAPOLIC;string;TRUE
ZCHENDOSS;string;TRUE
ZCHUNICO;string;TRUE
ZCHPROPOS;string;TRUE
ZCHSININT;string;FALSE
ZDTMOVIME;int;TRUE
ZCHOBJSE1;string;TRUE
ZCHCBSEGU;string;TRUE
ZCHCODFRA;int;TRUE
RECORDMODE;string;FALSE
ZCHCOBSEG;string;FALSE
ZCHCOBERT;int;TRUE
ZDTINIFRA;int;TRUE
ZDTFIMFRA;int;TRUE
ZCHPRZFRA;int;TRUE
ZCHUNIFRA;int;TRUE
ZCHINDFRA;string;FALSE
ZKFVLRFRA;double;TRUE
ZCHTIPFRA;int;TRUE
ZCHDESFR;string;FALSE
ZKFPERPAR;double;FALSE
ZKFVMNPAR;double;TRUE
ZKFVMXPAR;double;TRUE
CURRENCY;string;TRUE
ZCHFAPPAR;int;TRUE
ZCHDESPAR;string;TRUE
ZCHORISRO;string;FALSE
ZCHSTCONT;string;FALSE
ZCHFRAPAR;string;FALSE
