Campo;Tipo;Obrigatoriedade
OHREQUID;int;TRUE
DATAPAKID;int;TRUE
RECORD;int;TRUE
ZCHIDSER;string;TRUE
COMP_CODE;string;TRUE
ZDTMOVIME;int;TRUE
ZCHRES1;string;TRUE
ZCHIDTITL;string;TRUE
RECORDMODE;string;TRUE
ZCHSERTIT;string;TRUE
ZCHFUNB3;string;FALSE
ZCHTPRB3;string;FALSE
ZCHACB3;string;FALSE
ZCHCTAB3;string;FALSE
ZCHPARTB3;string;FALSE
ZCHMODAL;string;TRUE
ZCHFICAD;string;TRUE
ZCHCONCOM;string;TRUE
ZDTEMISS;int;TRUE
ZDTINIVG;int;TRUE
ZDTFIMVG;int;TRUE
ZKFPRESOR;double;TRUE
ZKFVCONTR;double;TRUE
ZCHTPREGI;string;FALSE
ZCHTPENV;string;FALSE
ZCHMOTALT;string;FALSE
ZCHLINNE;string;FALSE
ZCHORIGEM;string;TRUE
ZCHIDREG;string;FALSE
ZCHDTHRP;int;FALSE
STATUS;int;FALSE
DTHR;int;TRUE
NOMEARQ;string;FALSE
NROLIN;int;FALSE
